completed_at,course_id,module_id,items_count,module_name,module_position,state,unlock_at,student_id,student_name,items_id,items_title,items_position,items_indent,items_type,items_module_id,item_cp_req_type,item_cp_req_completed,course_name
10-05-2023 21:23,121654,787819,1,Get Started with the Canvas API,2,completed,,93997, LtsStudentFive,5619042,CAPICO-API-usage-guidelines-v1.1.pdf,2,0,File,787819,,,🤖 Learning Services Student API Sandbox
10-05-2023 21:23,121654,787806,4,Scripting (current script instructions for LS Ops - to be improved!) ,3,completed,,93997, LtsStudentFive,5618861,Procedures for Running Scripts,1,1,Page,787806,,,🤖 Learning Services Student API Sandbox
10-05-2023 21:23,121654,787806,4,Scripting (current script instructions for LS Ops - to be improved!) ,3,completed,,93997, LtsStudentFive,5618862,Canvas Blueprint Script ,2,1,Page,787806,,,🤖 Learning Services Student API Sandbox
10-05-2023 21:23,121654,787806,4,Scripting (current script instructions for LS Ops - to be improved!) ,3,completed,,93997, LtsStudentFive,5618863,How to Launch Jupyter Notebooks,3,1,File,787806,,,🤖 Learning Services Student API Sandbox
10-05-2023 21:23,121654,787806,4,Scripting (current script instructions for LS Ops - to be improved!) ,3,completed,,93997, LtsStudentFive,5618864,GitHub,4,1,Page,787806,,,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5638646,Introduction,1,0,Page,790496,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5640326,Practical Example,2,1,Page,790496,,,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5638661,Preliminary Quiz,3,1,Quiz,790496,must_submit,FALSE,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5640546,Data Science Buzzwords,4,1,Page,790496,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5640547,Difference between Analysis and Analytics,5,1,Page,790496,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5640548,"Business Intelligence, ML and AI",6,1,Page,790496,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790496,7,Data Science Introduction,4,unlocked,,93997, LtsStudentFive,5640553,Data Science Introduction Quiz,7,1,Quiz,790496,min_score,FALSE,🤖 Learning Services Student API Sandbox
,121654,790743,6,Data Science Disciplines,5,locked,,93997, LtsStudentFive,5640557,Data Science Techniques,1,1,Page,790743,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790743,6,Data Science Disciplines,5,locked,,93997, LtsStudentFive,5640558,Data Science Tools,2,1,Page,790743,must_view,FALSE,🤖 Learning Services Student API Sandbox
,121654,790743,6,Data Science Disciplines,5,locked,,93997, LtsStudentFive,5640559,Ungraded Reading Assignment,3,1,Assignment,790743,,,🤖 Learning Services Student API Sandbox
